id,cleaned_description
4042,search passionate organized individual take role hackathon organizeroperator position play pivotal role managing hackathons associated worldrenowned platform key member team responsible architecting hackathon collaborating sponsors assembling panel esteemed judges ensuring successful execution hackathons projects full ownership planning executing hackathons associated collaborate sponsors ensure beneficial partnership assemble coordinate panel mentors judges expertise relevant fields architect structure rules hackathon ensuring fair competitive environment coordinate logistics technical aspects guarantee smooth efficient hackathon experience participants engage crypto community build relationships enhance reach impact hackathons provide postevent analysis feedback continually improve future hackathon experiences job requirements passion conferences andor crypto familiarity blockchain technologies andor network crypto ecosystem relevant hackathon experience either series hacker volunteer managerial capacity ability thrive fastpaced environment preference given candidates startup experience strong work ethic responsiveness attention detail excellent communication skills proactive problemsolving attitude ability adapt unforeseen challenges listed crypto jobs non tech web3 jobs community crypto jobs startup crypto jobs full time web3 jobs web3 web3 jobs marketing crypto jobs senior web3 jobs community manager web3 jobs remote web3 jobs
4003,looking zeroknowledge cryptography engineer develop implement cryptographic zeroknowledge zk solutions enable secure private communication core web3 platform enterprise clients  design implement zk solutions allow privacypreserving interaction user data develop optimize zk circuits primitives research various zk techniques tools best leverage necessary create maintain technical documentation zk need succeed 3 years experience proven track record engineering role strong experience programming languages rust cc strong knowledge experience cryptography protocols zk proofs eg snarks starks written productionready zk circuits familiarity zkrelated libraries apply work remotely terminal 3
3995,kalder never expensive acquire customers challenging retain kalder revolutionizing customer community engagement nocode interactive loyalty tools helping brands sports teams creators tackle challenges customer acquisition retention trusted godiva blondish market les benjamins looking make change creators brand engage fans right place responsibilities build autonomously lead vertical feature product fast pace time collaboration ceo engineers design team develop end end lead new customerfacing features across web apps backends scale backend systems build automation tools next million users configure monitoring deployment developer tooling improve system reliability multiply engine apply work remotely kalder
3992,areweb3auth vcbacked company works applied cryptography specialize private key management software company vision proliferate usage cryptographic keys enable use cases empower individual solution allows applications setup public key infrastructure maintaining flows endusers familiar git check opensource code heavily executiondriven flexible impactfocused aim provide seamless user experience applications integrate us ultimately driving adoption ecosystem work handson web3auth various tools rapidly deliver innovative solutions key member development team candidate comfortable driving technical ideas communicating clearly technical well nontechnical audiences hiring software development engineer test apply work remotely web3auth
3970,seeking highly motivated individual join team intern full stack developer position paid position starts 25hour must available 9am 1pm 8pm 12am est intern opportunity work various projects gain handson experience web development key responsibilities include frontend backend development database management collaboration crossfunctional teams ideal candidate good communication skills ability work independently prior experience required currently student coding blocks please let us know cover letter prioritizing applicants studied full stack development listed cryptocurrency jobs internship crypto jobs javascript crypto jobs typescript web3 jobs c crypto jobs zk web3 jobs remote crypto jobs web3 crypto jobs
3946, team builders researchers mission empower enterprises developers worldwide access build decentralized systems expertise covers several domains ethereum starknet protocol engineering layer2 cryptography research protocol research decentralized finance defi security auditing formal verification realtime monitoring smart contract development dapps enterprise engineering working solve challenging problems blockchain space frequently collaborate organizations ethereum foundation starknet foundation gnosis chain flashbots forta protocol lido eigenlayer open zeppelin risczero aleph zero many today nearly 200 us working remotely 45 countries view open positions internship program internship program proud recipient ethereum foundation grant offers students graduates worldwide rare opportunity learn ethereum works core make tangible contributions evolution range exciting challenging projects intern nethermind youll given full autonomy decide projects want work skills want gain refine teams want work youll opportunity part handson 3monthlong deep dive blockchain core engineering cryptography research devops security l2 tooling defi research development paid internship
3927,talented senior developer looking remote job lets show skills get better compensation career growth look lemonio marketplace connects handpicked startups us europewhat offer respect time micromanagement screen trackers earn us 5k 9k monthly rate depends skills experience weve already paid 10m engineers enjoy work possible communicate async choose schedule works best communicate directly clients technical backgrounds sounds good yeah support time application start apply work remotely lemonio
3908,spruce reimagining trusted interactions creating worlds best software packaging beliefs digitally team programmers working develop worldclass open source products libraries implementing open global standards identity wellworn paths theoreticals every spruce technical staffer gets hands dirty writing code learning new technologies solving problems bleeding edge space hire resultsoriented developers love technology committed intellectual honesty user privacy innovation ideal candidate mobile engineering role experience bringing endtoend mobile applications zero one android work credential wallet allows end users control digital identity keeping privacy across product lines use combination core identity libraries cuttingedge cryptography new interoperable identity apply work remotely spruce
3884,metaschool produces courses devs build ship learn web3 decentralized remotefirst company teammates based singapore india pakistan divided borders common mission help developers build flourish web3 ecosystem brought us close core values buidl dope shit care built degrees faang experience stay weird diversity strength improve daily daily efforts compound dont underestimate developers come first building devs put first always learners life leave ego outside learn whenever collaborate win want go far collaborate go team rolewere looking senior fullstack developer 4 years experience join team youll working tech stack includes nextjs html tailwind laravel mai apply work remotely metaschool
3849,role flashbots hunt seasoned selfstarter backend engineers thrive rapidly evolving environments learn new technologies fly tackle complex problems builder mentality responsibilities contribute actively development flashbots core products mevboost mevshare flashbots builder suave future offerings create manage comprehensive technical documentationdiagrams public use fostering understanding accessibility products develop maintain public api services userfriendly tools support flashbots ecosystem including searchers integration partners endusers implement robust tests ensure quality stability offerings engage positively community addressing technical issues fostering collaborative environment qualifications proven experience working production systems utilizing golang rust ability contribute effectively asynchronous work environment part team working autonomously adaptable accountable solutionoriented focus delivering highimpact solutions tshaped skills showcasing depth knowledge specific area breadth knowledge across multiple areas nicetohaves deep familiarity ethereum ecosystem mev supply chain experience working across ethereum stack eg working ethereum clients like lighthouse prysm geth reth smart contract programming etc contributed opensource projects flashbots flashbots started 2020 research development organization formed mitigate negative externalities existential risks posed maximal extractable value mev smartcontract blockchains starting ethereum build products maximally decentralize public blockchains redistribute mev empower users work closely community ensure products positive impact secure used production scale impact since launch flashbots immense impact world cryptocurrency flashbots auction launched alpha january 2021 quickly adopted almost ethereum miners prior ethereums merge 2022 flashbots launched mevboost temporary solution outofprotocol proposerbuilder separation mevboost since adopted 90 ethereum validators significantly influenced ethereum pos ecosystem flashbots continues journey introduction mevshare continue journey toward suave research flashbots research independent arm organization aims become hub mev research addition conducting inhouse analysis flashbots research collaborates external researchers institutions via external grants program flashbots research continues publish seminal research mev covering wide range topics including crosschain mev eip1559 mev eth2 affects mev sgx privacy full list publications visit writingsflashbotsnet flashbots competitive salary significantly market rate equity compensation package unlimited pto high level freedom autonomy work attractive health cover package us employees yearly budget individual learning development goals work alongside brightest minds crypto space help build future blockchain technology remote working travel work anywhere world paid travel team onsites different parts world several times year flashbots committed building diverse inclusive team welcome applications qualified candidates regardless gender race ethnicity religion sexual orientation age disability status listed cryptocurrency jobs remote crypto jobs web3 web3 jobs non tech crypto jobs research web3 jobs community crypto jobs developer crypto jobs golang web3 jobs rust crypto jobs senior crypto jobs ethereum web3 jobs smart contract web3 jobs contract web3 jobs open source crypto jobs full time crypto jobs
